,country,director,major character,title,type,year
89,美国,梅尔·吉布森,梅尔·吉布森 Mel Gibson / 苏菲·玛..,勇敢的心 / Braveheart / 惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台),动作 传记 剧情 历史 战争,1995
90,中国香港,周星驰,周星驰 Stephen Ch..,喜剧之王 / 喜劇之王 / King of Comedy,喜剧 剧情 爱情,1999
91,美国,詹姆斯·曼高德,约翰·库萨克 John Cusack / 雷..,致命ID / Identity / 杀人游戏  /  致命身份,剧情 悬疑 惊悚,2003
92,美国 英国,大卫·叶茨,丹尼尔·雷德克里夫 Daniel Radcliffe..,哈利·波特与死亡圣器(下) / Harry Potter and the Deathly Hallows: Part 2 / 哈利波特7:死神的圣物2(港 / 台),奇幻 冒险,2011
93,美国,戈尔·维宾斯基,约翰尼·德普 Johnny Depp / ..,加勒比海盗 / Pirates of the Caribbean: The Curse of the Black Pearl / 加勒比海盗1:黑珍珠号的诅咒  /  神鬼奇航:鬼盗船魔咒(台),动作 冒险 奇幻,2003
94,法国 德国,让-皮埃尔·热内,奥黛丽·塔图 Audrey Tau..,天使爱美丽 / Le fabuleux destin d'Amélie Poulain / 艾蜜莉的异想世界(台)  /  天使艾米莉,喜剧 爱情,2001
95,韩国,奉俊昊,宋康昊 Kang-ho Song / 金相庆 Sang-kyun..,杀人回忆 / 살인의 추억 / 谋杀回忆  /  杀手回忆录,剧情 动作 犯罪 悬疑 惊悚,2003
96,美国 加拿大,李安,希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake..,断背山 / Brokeback Mountain / 断臂山  /  BBM,剧情 爱情 同性 家庭,2005
97,丹麦 瑞典,托马斯·温特伯格,麦斯·米科尔森 Mads Mik..,狩猎 / Jagten / 诬网(港)  /  谎言的烙印(台),剧情,2012
98,意大利 法国 巴西 美国 荷兰 德国,卢卡·瓜达尼诺,艾米·汉莫 Armie Hammer / ..,请以你的名字呼唤我 / Call Me by Your Name / 以你的名字呼唤我(港 / 台),剧情 爱情 同性,2017
99,日本,宫崎骏,松田洋治 Yôji Matsuda / 石田百合..,幽灵公主 / もののけ姫 / 魔法公主(台)  /  幽灵少女,动画 奇幻 冒险,1997
100,韩国,李焕庆,柳承龙 Seung-yong Ryoo / 朴信惠 Shi..,7号房的礼物 / 7번방의 선물 / 戆爸的礼物(港)  /  7号囚房的礼物,剧情 喜剧 家庭,2013
101,中国大陆 中国香港,姜文,,阳光灿烂的日子 / In the Heat of the Sun,剧情 爱情,1994
102,日本,森淳一,桥本爱 Ai Hashimoto / 三浦贵大 Takahir..,小森林 夏秋篇 / リトル・フォレスト 夏・秋 / 小森食光 / 夏秋篇(台),剧情,2014
103,美国,M·奈特·沙马兰,布鲁斯·威利斯 Bruce Wi..,第六感 / The Sixth Sense / 鬼眼(港)  /  灵异第六感(台),剧情 悬疑 惊悚,1999
104,中国香港,王家卫,林青霞 Brigitte Lin / 金城武 Takeshi K..,重庆森林 / 重慶森林 / Chungking Express,剧情 爱情,1994
105,日本,今敏,林原惠美 Megumi Hayashibara / 江守彻 Toru..,红辣椒 / パプリカ / 盗梦侦探(港 / 台),动画 悬疑 科幻 惊悚,2006
106,日本,泷田洋二郎,本木雅弘 Masahiro Motoki / ..,入殓师 / おくりびと / 礼仪师之奏鸣曲(港)  /  礼仪师(台),剧情,2008
107,日本,森淳一,桥本爱 Ai Hashimoto / 三浦贵大 Takahir..,小森林 冬春篇 / リトル・フォレスト 冬・春 / 小森食光 / 冬春篇(台),剧情,2015
108,美国,大卫·芬奇,本·阿弗莱克 Ben Affleck / 罗莎蒙..,消失的爱人 / Gone Girl / 失踪的女孩  /  失踪女孩,剧情 犯罪 悬疑 惊悚,2014
109,美国 奥地利 瑞士,理查德·林克莱特,伊桑·霍克 Ethan Hawke ..,爱在黎明破晓前 / Before Sunrise / 情留半天(港)  /  爱在黎明破晓时(台),剧情 爱情,1995
110,中国台湾 日本,杨德昌,吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai..,一一 / Yi yi  /  Yi yi: A One and a Two,剧情 爱情 家庭,2000
111,中国香港,李力持,周星驰 Stephen Chow / 巩俐 Li Gong / 陈..,唐伯虎点秋香 / 唐伯虎點秋香 / Flirting Scholar,喜剧 爱情 古装,1993
112,日本,近藤喜文,本名阳子 Youko Honna / 小林桂树 K..,侧耳倾听 / 耳をすませば / 心之谷(台)  /  梦幻街少女(港),剧情 爱情 动画,1995
113,美国,托尼·凯耶,艾德里安·布洛迪 Adrien Brody / 马西..,超脱 / Detachment / 人间师格(台),剧情,2011
114,美国 英国,克里斯托弗·诺兰,克里斯蒂安·贝尔 Christ..,蝙蝠侠:黑暗骑士崛起 / The Dark Knight Rises / 蝙蝠侠前传3:黑暗骑士崛起  /  黑暗骑士:黎明升起(台),剧情 动作 科幻 犯罪 惊悚,2012
115,中国香港,程小东,张国荣 Leslie Cheung / 王祖贤 Joey W..,倩女幽魂 / 倩女幽魂(87版)  /  倩女幽魂:妖魔道,爱情 奇幻 武侠 古装,1987
116,澳大利亚,亚当·艾略特,托妮·科莱特 Toni Collette / 菲利..,玛丽和马克思 / Mary and Max / 巧克力情缘(台)  /  同是天涯寂寞客,剧情 喜剧 动画,2009
117,日本,是枝裕和,柳乐优弥 Yûya Yagira / 北浦爱..,无人知晓 / 誰も知らない / 谁知赤子心(港)  /  无人知晓的夏日清晨(台),剧情,2004
118,中国香港,陈可辛,黎明 Leon Lai / 张曼玉 Maggie Cheung / ..,甜蜜蜜 / Comrades: Almost a Love Story,剧情 爱情,1996
119,日本,大森贵弘,佐仓绫音 Ayane Sakura / 内山昂辉 K..,萤火之森 / 蛍火の杜へ / 萤火之社  /  Hotarubi no mori e,剧情 爱情 动画 奇幻,2011
120,美国,唐·霍尔,斯科特..,超能陆战队 / Big Hero 6 / 大英雄联盟(港)  /  大英雄天团(台),喜剧 动作 科幻 动画 冒险,2014
